GEO_ID,C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,NAME,C23002A_001EA,C23002A_001MA,C23002A_002EA,C23002A_002MA,C23002A_003EA,C23002A_003MA,C23002A_004EA,C23002A_004MA,C23002A_005EA,C23002A_005MA,C23002A_006MA,C23002A_006EA,C23002A_007MA,C23002A_007EA,C23002A_008EA,C23002A_008MA,C23002A_009EA,C23002A_009MA,C23002A_010MA,C23002A_010EA,C23002A_011MA,C23002A_011EA,C23002A_012MA,C23002A_012EA,C23002A_013MA,C23002A_013EA,C23002A_014EA,C23002A_014MA,C23002A_015EA,C23002A_015MA,C23002A_016EA,C23002A_016MA,C23002A_017MA,C23002A_017EA,C23002A_018MA,C23002A_018EA,C23002A_019MA,C23002A_019EA,C23002A_020EA,C23002A_020MA,C23002A_021EA,C23002A_021MA,C23002A_022MA,C23002A_022EA,C23002A_023MA,C23002A_023EA,C23002A_024MA,C23002A_024EA,C23002A_025EA,C23002A_025MA,C23002A_026EA,C23002A_026MA,C23002A_027EA,C23002A_027MA,state
0400000US30,751079,2067,377254,1649,295869,1660,231426,3738,2692,765,228734,3680,218708,3929,10026,1720,64443,3848,81385,418,19525,1522,19235,1525,290,174,61860,1570,373825,1391,285089,1305,205365,3134,323,249,205042,3141,197466,3309,7576,1376,79724,3130,88736,493,12550,1330,12218,1303,332,229,76186,1380,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1323321,4156,651851,2603,533621,2654,454198,4895,4147,876,450051,4981,436747,5109,13304,1668,79423,3991,118230,577,32828,1590,32226,1600,602,268,85402,1730,671470,2607,524120,2542,408286,3758,538,259,407748,3763,396005,4128,11743,1475,115834,3706,147350,553,26521,1649,26418,1654,103,87,120829,1689,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1586133,10264,803327,5914,640072,5787,510104,7240,5386,860,504718,7346,466580,6611,38138,3584,129968,5848,163255,1353,32835,2252,30540,2204,2295,589,130420,2729,782806,5729,608856,5362,419542,7160,828,446,418714,7208,388209,7186,30505,3242,189314,5284,173950,1418,25356,2040,23999,1958,1357,489,148594,2434,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1039041,1933,507501,1561,410733,1573,344131,3752,1562,852,342569,3798,326782,4058,15787,1835,66602,3670,96768,353,24079,1640,23459,1649,620,334,72689,1614,531540,1300,415685,1266,317336,4320,121,151,317215,4338,305200,4559,12015,1694,98349,4296,115855,283,20340,1566,19650,1567,690,387,95515,1537,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,4961560,16451,2406204,10107,1945872,9477,1589721,10660,5703,911,1584018,10712,1493011,11242,91007,5227,356151,8544,460332,2169,118300,4308,113479,4178,4821,935,342032,4717,2555356,9175,1944768,8721,1405048,11966,1118,632,1403930,12024,1326600,12783,77330,4278,539720,11966,610588,2124,100966,3867,95407,3880,5559,1350,509622,4362,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1231427,10737,605070,5833,478187,5283,361184,6614,6676,1123,354508,6592,327027,6607,27481,2617,117003,4929,126883,1677,24861,2210,23966,2161,895,447,102022,2434,626357,6210,477499,5895,310266,6939,956,453,309310,6902,293154,6859,16156,2285,167233,6694,148858,1669,22418,1888,21644,1863,774,420,126440,2615,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,10476505,24126,5080071,14690,4107548,13541,3256342,16006,14769,1612,3241573,15592,3057407,17196,184166,6920,851206,13211,972523,3624,230959,6271,222483,6084,8476,1298,741564,7603,5396434,12769,4129320,11450,2962303,17453,2293,687,2960010,17478,2818186,16555,141824,5304,1167017,15689,1267114,3638,187711,5423,182178,5557,5533,968,1079403,6902,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5674276,10794,2757830,6395,2218893,6206,1767436,11081,54270,3223,1713166,11425,1621678,12636,91488,5223,451457,9599,538937,1092,112067,4608,108659,4313,3408,1077,426870,4696,2916446,6223,2236543,6522,1521345,11254,3483,1044,1517862,11240,1429298,10498,88564,5869,715198,10973,679903,1730,86179,3935,83459,3865,2720,715,593724,4102,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,539119,2099,275857,1615,229184,1581,195353,2451,5057,943,190296,2618,186501,2921,3795,1041,33831,2263,46673,173,11630,989,11212,964,418,306,35043,992,263262,1434,206486,1465,161798,2308,466,220,161332,2351,157896,2226,3436,968,44688,2408,56776,294,8681,855,8471,853,210,171,48095,901,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7763775,6953,3774225,4957,3054253,4929,2438778,8560,4368,702,2434410,8595,2300072,9609,134338,5981,615475,8372,719972,1007,149777,4296,145255,4276,4522,953,570195,4218,3989550,4011,3067242,4134,2199974,11258,1419,498,2198555,11278,2087917,11846,110638,5384,867268,11409,922308,1026,128704,4958,124428,4813,4276,830,793604,5126,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
