GEO_ID,B18140_001E,B18140_001M,B18140_002E,B18140_002M,B18140_003E,B18140_003M,B18140_004E,B18140_004M,B18140_005E,B18140_005M,B18140_006E,B18140_006M,B18140_007E,B18140_007M,NAME,B18140_001MA,B18140_001EA,B18140_002MA,B18140_002EA,B18140_003MA,B18140_003EA,B18140_004EA,B18140_004MA,B18140_005EA,B18140_005MA,B18140_006EA,B18140_006MA,B18140_007EA,B18140_007MA,state
0400000US41,29058,507,18248,1647,21902,1452,14106,1022,30241,257,35786,559,25158,333,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,32035,118,21517,568,25756,1011,17797,1094,32696,347,40772,203,27066,191,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,34842,1240,24478,4267,26634,7571,22486,5457,35447,647,40639,619,30538,613,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,27997,641,18964,1567,21769,1414,15870,1194,29138,637,33354,923,24568,602,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,30094,493,19213,3245,22277,1975,14097,3221,30720,393,36641,738,25787,526,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,28532,455,21301,808,25941,1267,17053,1014,29484,490,34340,928,24647,404,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,31108,116,22999,816,27674,1575,18780,1082,31464,122,37301,230,25708,201,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,29359,777,19887,1456,25025,2840,15951,1647,30110,417,37780,1164,21465,477,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,31012,450,19671,2437,22253,4889,14052,4392,31512,456,36057,699,27270,1019,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,35398,303,24874,1263,30778,1782,20571,1142,35959,309,42256,325,30471,261,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,35535,264,22445,1149,28916,2030,18343,1531,36217,264,44015,1375,29693,591,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,27737,775,20246,1320,23526,2806,16252,1410,28962,858,35665,614,23802,831,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,31564,149,20453,706,22986,2104,17125,1227,32026,158,40004,326,26695,242,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,31575,486,22664,1945,35461,8854,20064,3519,32046,523,44452,2533,23643,1699,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,16800,165,15895,728,15586,1091,16202,1071,16875,161,16849,220,16908,262,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
