GEO_ID,B13002A_001E,B13002A_001M,B13002A_002E,B13002A_002M,B13002A_003E,B13002A_003M,B13002A_004E,B13002A_004M,B13002A_005E,B13002A_005M,B13002A_006E,B13002A_006M,B13002A_007E,B13002A_007M,NAME,B13002A_001EA,B13002A_001MA,B13002A_002MA,B13002A_002EA,B13002A_003MA,B13002A_003EA,B13002A_004MA,B13002A_004EA,B13002A_005EA,B13002A_005MA,B13002A_006EA,B13002A_006MA,B13002A_007EA,B13002A_007MA,state
0400000US40,633274,2777,32912,2357,22441,1886,10471,1570,600362,3360,301601,5263,298761,4579,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,774353,4664,38811,3647,26528,2701,12283,2330,735542,5609,318820,6991,416722,8081,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2277242,5985,114170,5107,76274,4020,37896,2966,2163072,7052,962800,9385,1200272,10203,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,195182,2217,9575,1746,5910,1165,3665,1117,185607,2715,71471,3446,114136,3484,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,733566,3796,38249,3340,26789,2873,11460,2216,695317,5060,344096,6089,351221,6325,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,154373,1390,8411,1016,5787,896,2624,732,145962,1722,73373,2823,72589,2957,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1178263,4266,57291,3803,40147,3002,17144,2279,1120972,6009,555008,8615,565964,8139,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,4951746,13233,293978,9548,197028,8677,96950,6102,4657768,15779,2238771,21537,2418997,23465,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,642172,4142,45734,3156,38428,2687,7306,1421,596438,5184,307263,5815,289175,7438,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,131460,1106,5364,817,4200,721,1164,424,126096,1426,52168,2158,73928,2288,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1324756,5909,66563,3952,50670,3423,15893,2164,1258193,7271,610876,8441,647317,10174,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1249053,5266,61867,3388,45391,2771,16476,2199,1187186,6318,547665,9635,639521,10529,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,376682,2060,18668,2236,10256,1508,8412,1704,358014,3009,162682,5238,195332,5310,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1096781,3844,54207,3288,38017,2605,16190,2070,1042574,5237,479702,6777,562872,6705,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,119540,1923,6891,1298,5001,1173,1890,657,112649,2121,56283,2156,56366,2904,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,559066,8243,19900,2090,8762,1684,11138,1615,539166,8156,172884,6599,366282,8417,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
