GEO_ID,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,NAME,B25072_001MA,B25072_001EA,B25072_002MA,B25072_002EA,B25072_003EA,B25072_003MA,B25072_004EA,B25072_004MA,B25072_005EA,B25072_005MA,B25072_006MA,B25072_006EA,B25072_007MA,B25072_007EA,B25072_008EA,B25072_008MA,B25072_009EA,B25072_009MA,B25072_010MA,B25072_010EA,B25072_011EA,B25072_011MA,B25072_012MA,B25072_012EA,B25072_013EA,B25072_013MA,B25072_014EA,B25072_014MA,B25072_015EA,B25072_015MA,B25072_016EA,B25072_016MA,B25072_017MA,B25072_017EA,B25072_018EA,B25072_018MA,B25072_019EA,B25072_019MA,B25072_020EA,B25072_020MA,B25072_021MA,B25072_021EA,B25072_022EA,B25072_022MA,B25072_023EA,B25072_023MA,B25072_024EA,B25072_024MA,B25072_025EA,B25072_025MA,B25072_026EA,B25072_026MA,B25072_027EA,B25072_027MA,B25072_028MA,B25072_028EA,B25072_029EA,B25072_029MA,state
0400000US13,1395241,15955,123520,5876,16870,2204,11288,1663,11301,1950,8336,1580,63004,4569,12721,2058,381458,8422,99483,5559,50901,4147,44078,3865,31132,2958,134192,6610,21672,2570,732672,12615,187956,8524,90424,5740,73138,4058,53780,4021,265428,9368,61946,3719,157591,5792,23823,2519,14547,2306,16420,2284,13790,1902,69197,4427,19814,2076,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,193501,4944,14371,1635,535,368,460,382,1083,502,967,705,10434,1497,892,503,50997,2810,7685,1356,5667,1184,4975,1177,4410,1332,26486,2332,1774,589,96941,3987,24748,1958,10437,1585,10308,1682,9141,1593,34386,2821,7921,1406,31192,2630,5394,950,3096,806,3330,915,2441,719,13041,2007,3890,886,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,185463,6126,23417,2352,4036,887,2089,658,1868,658,2228,657,10971,1862,2225,647,52555,3453,16522,2210,7543,1586,5185,1071,4098,1227,15559,2531,3648,1182,85697,5127,23191,2502,11464,1888,6881,1318,5849,1447,30131,3717,8181,1591,23794,2395,5347,1203,2174,661,2407,670,1882,630,8196,1534,3788,885,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1664882,16458,142158,4969,21246,2246,13064,1783,13655,1780,11197,1454,66431,3904,16565,1827,449691,8572,128565,5515,66233,4347,49505,3407,33906,3491,146813,5619,24669,2415,828333,12913,221889,6998,98991,5100,86511,4713,63994,4396,299094,8765,57854,3829,244700,6677,38402,2640,20967,2563,24153,2464,23062,2371,114744,4954,23372,2329,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,800263,10613,97356,4430,16546,2128,11113,1926,9925,1610,8507,1645,44392,2989,6873,1290,203774,6232,58471,3522,26871,2661,22010,2401,15510,1921,66579,5074,14333,2030,383212,8598,107125,5004,45524,3350,41564,3026,29268,3052,127131,5258,32600,2936,115921,4328,18656,1719,11316,1387,14142,1554,11960,1717,48300,3319,11547,1465,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,365769,7852,58538,3383,12870,1805,5969,1295,5852,1227,4229,1098,24847,2564,4771,1235,96944,4338,33941,2531,11963,1542,9834,1697,7156,1308,27212,2819,6838,1176,151976,5912,49365,3759,17618,2074,15765,2300,11657,2083,44443,3247,13128,1562,58311,3177,11926,1533,6113,989,6719,1020,5594,1058,21427,1889,6532,828,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,373246,7105,53358,3421,9246,1387,5396,1133,5358,1188,5227,1339,24230,2429,3901,1164,96356,3498,32691,2443,14050,1949,12582,1643,6716,1175,23897,2574,6420,1454,165425,5430,52907,3319,20344,2039,18096,2464,11705,1595,47211,3119,15162,1999,58107,3899,12326,1589,6007,1087,7327,1142,4353,849,21786,2472,6308,930,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,577915,9596,66068,3760,13684,2292,6547,1574,6017,1119,5735,1121,26853,2905,7232,1358,139722,4693,42312,3082,18861,2290,13412,1698,10571,1825,41800,2485,12766,1713,298002,7681,85246,4636,34300,3013,28239,3169,23802,2892,92809,4884,33606,2656,74123,3497,12350,1841,7457,1018,8755,1153,6620,1215,26670,2428,12271,1584,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,615614,11160,61015,3728,9474,1685,5292,1215,3993,973,5488,1331,29702,3037,7066,1458,173311,6414,42478,3795,18174,2207,14111,2047,12003,2236,66455,4058,20090,2355,305384,8911,70431,4828,29033,2882,25135,2920,23698,2862,110236,5827,46851,3447,75904,4355,10540,1635,6201,1255,5600,1009,6322,1286,29448,2816,17793,1990,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,158125,4266,12298,1569,2289,813,1141,648,1281,557,1475,704,5388,1038,724,361,32805,2619,8368,1381,4987,1213,3174,787,3289,1251,11511,1887,1476,484,76783,3847,17125,1926,8484,1476,10065,1431,6166,1355,28119,2628,6824,1174,36239,2322,6173,1218,2972,809,7023,1277,3562,860,11312,1568,5197,971,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
