GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001MA,B13002I_001EA,B13002I_002MA,B13002I_002EA,B13002I_003MA,B13002I_003EA,B13002I_004EA,B13002I_004MA,B13002I_005EA,B13002I_005MA,B13002I_006EA,B13002I_006MA,B13002I_007MA,B13002I_007EA,state
0400000US20,85631,1810,6425,1328,3933,971,2492,875,79206,2186,36523,1916,42683,2159,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,37883,2091,1900,672,1216,481,684,417,35983,2077,16382,1446,19601,2203,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,56570,2569,4577,1797,2256,631,2321,1548,51993,2321,24400,2577,27593,2413,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6469,909,15,24,15,24,0,163,6454,908,2224,771,4230,1017,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,150170,2052,8557,1335,6074,1079,2483,787,141613,2470,61110,2800,80503,3288,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,215728,1253,11513,1600,5033,1074,6480,1306,204215,2298,64737,3299,139478,3466,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,123733,1500,8060,1289,4275,975,3785,1028,115673,2037,45231,2497,70442,2838,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,74130,1965,5013,1046,3227,985,1786,747,69117,2134,31558,2365,37559,2450,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20008,1736,1431,722,989,517,442,435,18577,1679,9447,1492,9130,1485,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,61419,1801,3278,967,2101,747,1177,556,58141,2125,25896,1881,32245,2493,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,8666,1029,514,331,399,299,115,130,8152,1097,2382,532,5770,1026,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,51886,1125,5392,1193,2871,764,2521,905,46494,1394,21448,1749,25046,1920,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,220762,1193,13033,2213,7829,1830,5204,1502,207729,2387,87786,3542,119943,3373,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,12626,979,635,393,270,244,365,270,11991,1001,5276,780,6715,1178,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,467088,2164,27288,3020,14878,1896,12410,2255,439800,4022,173770,5594,266030,5443,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,246172,1600,12842,2265,7023,1793,5819,1251,233330,2802,90631,3755,142699,4051,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1003607,2949,51316,3887,24947,2789,26369,2781,952291,5173,341090,7971,611201,8425,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,237294,4025,16333,2041,9898,1716,6435,1453,220961,4254,109623,4479,111338,4418,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,6398,1010,510,539,451,530,59,80,5888,1136,2159,679,3729,1000,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,103179,2372,5834,1381,3321,1030,2513,1017,97345,2706,38680,2276,58665,3049,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,98942,1445,6487,1143,3086,905,3401,782,92455,1885,45174,2629,47281,2319,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,135070,1891,8736,1795,4580,1179,4156,1338,126334,2531,57906,3104,68428,3476,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,233303,1794,15426,2043,6711,1348,8715,1801,217877,2774,75687,4500,142190,4369,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,41695,783,3694,1012,1439,570,2255,891,38001,1344,13864,1704,24137,1931,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,65770,1562,4208,1302,2674,1037,1534,872,61562,2146,30732,2644,30830,2641,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,7490,1179,238,167,67,71,171,153,7252,1200,2888,660,4364,1180,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,83796,1748,6693,1293,4745,1247,1948,776,77103,2238,39655,2528,37448,2955,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2795940,5669,183897,7431,106798,5788,77099,5800,2612043,9214,1199781,13467,1412262,15321,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,108582,1311,6443,1061,3952,860,2491,887,102139,1600,51688,2700,50451,2794,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2728,524,58,79,46,75,12,23,2670,554,1180,419,1490,401,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,202541,2756,14000,2329,8226,1463,5774,1687,188541,3587,85507,3440,103034,4286,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,228676,1841,15728,1884,8686,1218,7042,1343,212948,2830,92469,3892,120479,3434,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,5701,1055,670,398,670,398,0,189,5031,1120,2135,781,2896,869,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,96445,2205,5377,1059,2507,736,2870,820,91068,2546,39637,2497,51431,2611,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,15469,2285,678,434,516,367,162,188,14791,2385,5909,1260,8882,2860,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,831489,3491,28556,2739,12290,2046,16266,2190,802933,3868,247110,7720,555823,8136,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
