GEO_ID,C18103_001E,C18103_001M,C18103_002E,C18103_002M,C18103_003E,C18103_003M,C18103_004E,C18103_004M,C18103_005E,C18103_005M,C18103_006E,C18103_006M,C18103_007E,C18103_007M,C18103_008E,C18103_008M,C18103_009E,C18103_009M,C18103_010E,C18103_010M,C18103_011E,C18103_011M,C18103_012E,C18103_012M,C18103_013E,C18103_013M,C18103_014E,C18103_014M,C18103_015E,C18103_015M,C18103_016E,C18103_016M,C18103_017E,C18103_017M,C18103_018E,C18103_018M,C18103_019E,C18103_019M,C18103_020E,C18103_020M,C18103_021E,C18103_021M,NAME,C18103_001MA,C18103_001EA,C18103_002MA,C18103_002EA,C18103_003MA,C18103_003EA,C18103_004EA,C18103_004MA,C18103_005EA,C18103_005MA,C18103_006EA,C18103_006MA,C18103_007MA,C18103_007EA,C18103_008MA,C18103_008EA,C18103_009MA,C18103_009EA,C18103_010EA,C18103_010MA,C18103_011EA,C18103_011MA,C18103_012MA,C18103_012EA,C18103_013MA,C18103_013EA,C18103_014MA,C18103_014EA,C18103_015EA,C18103_015MA,C18103_016EA,C18103_016MA,C18103_017EA,C18103_017MA,C18103_018MA,C18103_018EA,C18103_019MA,C18103_019EA,C18103_020EA,C18103_020MA,C18103_021EA,C18103_021MA,state
0400000US38,740547,930,377039,2487,86876,1552,750,492,86126,1497,243806,2261,2840,902,240966,2462,46357,543,2733,760,43624,956,363508,2331,84118,1717,107,95,84011,1730,224274,1779,2717,866,221557,1972,55116,678,2936,679,52180,850,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11442029,985,5580642,4292,1343027,3600,9581,1673,1333446,3690,3458022,4130,68251,3731,3389771,5725,779593,2043,41886,3010,737707,3844,5861387,4171,1283744,2943,9162,1595,1274582,3467,3587067,3654,78360,4377,3508707,5488,990576,2712,65263,2931,925313,3290,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3830329,1616,1879929,3913,492805,2484,5011,899,487794,2685,1138552,2987,33435,2636,1105117,4158,248572,1529,20604,1689,227968,2137,1950400,3699,465613,2334,4611,743,461002,2484,1175388,2606,39321,2820,1136067,3809,309399,1801,25055,1945,284344,2444,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3991133,495,1964333,3931,438407,3017,3023,1197,435384,3124,1228321,2436,23759,2932,1204562,3929,297605,1601,19462,2038,278143,2656,2026800,3856,421001,2893,3132,1134,417869,3295,1252813,2157,27963,2691,1224850,3636,352986,1456,22731,2201,330255,2451,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12599417,801,6126922,4486,1372556,3169,10600,1533,1361956,3382,3838463,3268,71427,4425,3767036,5491,915903,2185,52392,3184,863511,4032,6472495,4582,1312748,3539,10343,1989,1302405,3893,3974024,3253,77383,3809,3896641,5086,1185723,2612,76237,3786,1109486,4718,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1041268,531,503911,1754,107996,1075,1124,606,106872,1239,324802,1365,3865,1088,320937,1782,71113,771,2944,685,68169,1036,537357,1739,103401,1260,461,416,102940,1333,342248,1216,5026,891,337222,1533,91708,1092,5406,1162,86302,1419,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4801301,2216,2312006,5104,559073,4560,4977,1158,554096,4579,1407155,3317,37246,2815,1369909,4509,345778,1538,24245,2283,321533,2582,2489295,5342,527534,4391,4741,1155,522793,4390,1530952,2946,37677,3535,1493275,4779,430809,1959,31747,3027,399062,3389,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,841363,603,420831,2476,107740,1668,487,219,107253,1709,254171,2007,3331,732,250840,1943,58920,1112,2621,557,56299,1256,420532,2296,100840,1599,454,264,100386,1602,250543,1744,4374,927,246169,1764,69149,1265,3710,805,65439,1539,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6496300,2363,3140988,5917,758013,3942,6853,1508,751160,4278,1943415,5002,52990,3401,1890425,6014,439560,2438,33006,2498,406554,3360,3355312,5547,732936,3897,7835,1454,725101,3997,2073652,4034,57204,4058,2016448,5502,548724,2453,45480,2773,503244,3730,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26990435,4141,13258486,10886,3666888,8574,30409,3299,3636479,9057,8193983,7901,173052,9471,8020931,11439,1397615,3734,108523,4814,1289092,6094,13731949,10127,3530965,8502,27025,2789,3503940,9139,8463174,6343,189404,7816,8273770,9839,1737810,3978,141466,6053,1596344,6864,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2971003,686,1487256,2648,467194,2076,2973,995,464221,2179,879362,1704,11967,1790,867395,2842,140700,1187,8210,1120,132490,1516,1483747,2530,442091,2032,2372,853,439719,2139,878354,1835,14924,2057,863430,2746,163302,1291,10495,1218,152807,1801,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,620107,172,305087,998,61555,814,1268,551,60287,938,194862,1134,3924,867,190938,1518,48670,572,2984,666,45686,785,315020,977,58273,926,351,261,57922,999,198994,837,3250,750,195744,1187,57753,586,2753,652,55000,862,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8162517,4887,3951780,6930,954410,5338,6413,1448,947997,5499,2482297,5935,41524,3218,2440773,6964,515073,2497,25728,2505,489345,3194,4210737,6301,912682,5562,6063,1507,906619,5666,2650912,4023,42087,2967,2608825,5463,647143,2491,42879,3095,604264,4078,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,7066812,2751,3509886,4902,822931,3296,5401,1208,817530,3446,2219266,4007,44090,3648,2175176,5591,467689,1812,25732,2617,441957,2959,3556926,4506,787631,3540,6412,1440,781219,3432,2220895,3127,41532,3422,2179363,4857,548400,1903,35829,2542,512571,3224,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1815505,361,890135,2573,190955,2248,2971,1051,187984,2505,550126,2121,16711,1706,533415,2748,149054,1114,13953,1650,135101,1949,925370,2531,187441,2259,1340,582,186101,2327,559219,2033,18214,2361,541005,2892,178710,1253,17470,2078,161240,2357,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5698995,715,2820000,3594,661687,3075,4420,1090,657267,3146,1764181,2424,26201,2122,1737980,3245,394132,1716,15701,1488,378431,1987,2878995,3602,628663,2849,3328,787,625335,2925,1771746,2083,25297,2240,1746449,2929,478586,1930,25509,1879,453077,2482,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,576557,733,288324,2364,70399,2168,969,668,69430,2188,179642,1874,3446,944,176196,1898,38283,625,2422,716,35861,973,288233,2454,68554,2469,238,244,68316,2467,177558,2417,3551,1095,174007,2413,42121,666,3374,835,38747,966,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3447794,522,1638964,3822,379621,3557,6588,1541,373033,4050,991236,1131,49423,4071,941813,4228,268107,787,40822,2779,227285,2929,1808830,3875,357577,3619,6018,1493,351559,3929,1100267,1046,50522,3527,1049745,3780,350986,892,54762,3151,296224,3193,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
