B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,GEO_ID,B10001_001E,B10001_001M,B10001_002MA,B10001_002EA,B10001_003MA,B10001_003EA,B10001_004EA,B10001_004MA,NAME,B10001_001MA,B10001_001EA,state
5292,1149,4241,1379,2011,482,0400000US46,11544,2295,null,null,null,null,null,null,South Dakota,null,null,46
55005,4060,48992,4570,37029,2980,0400000US47,141026,7520,null,null,null,null,null,null,Tennessee,null,null,47
311516,11974,218023,9883,144224,8557,0400000US48,673763,22541,null,null,null,null,null,null,Texas,null,null,48
26343,3345,18866,2520,15343,2377,0400000US49,60552,5678,null,null,null,null,null,null,Utah,null,null,49
3491,1073,1927,796,1605,722,0400000US50,7023,1803,null,null,null,null,null,null,Vermont,null,null,50
63588,4814,49096,4726,31310,3739,0400000US51,143994,9279,null,null,null,null,null,null,Virginia,null,null,51
41983,4050,29796,3044,21502,2499,0400000US53,93281,6992,null,null,null,null,null,null,Washington,null,null,53
18435,2327,13249,2031,11267,1778,0400000US54,42951,3635,null,null,null,null,null,null,West Virginia,null,null,54
27818,3028,19911,2464,13839,1552,0400000US55,61568,4715,null,null,null,null,null,null,Wisconsin,null,null,55
3231,903,2903,941,2083,829,0400000US56,8217,1832,null,null,null,null,null,null,Wyoming,null,null,56
44203,4396,32749,3099,30199,2914,0400000US72,107151,7190,null,null,null,null,null,null,Puerto Rico,null,null,72
