GEO_ID,C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,NAME,C08128_001MA,C08128_001EA,C08128_002EA,C08128_002MA,C08128_003MA,C08128_003EA,C08128_004MA,C08128_004EA,C08128_005MA,C08128_005EA,C08128_006MA,C08128_006EA,C08128_007MA,C08128_007EA,C08128_008EA,C08128_008MA,C08128_009EA,C08128_009MA,C08128_010EA,C08128_010MA,C08128_011MA,C08128_011EA,C08128_012MA,C08128_012EA,C08128_013MA,C08128_013EA,C08128_014MA,C08128_014EA,C08128_015MA,C08128_015EA,C08128_016MA,C08128_016EA,C08128_017MA,C08128_017EA,C08128_018MA,C08128_018EA,C08128_019MA,C08128_019EA,C08128_020MA,C08128_020EA,C08128_021MA,C08128_021EA,C08128_022MA,C08128_022EA,C08128_023MA,C08128_023EA,C08128_024MA,C08128_024EA,C08128_025MA,C08128_025EA,C08128_026MA,C08128_026EA,C08128_027MA,C08128_027EA,C08128_028MA,C08128_028EA,C08128_029MA,C08128_029EA,C08128_030MA,C08128_030EA,state
0400000US13,4555243,21695,3598299,23184,708618,14382,241034,8790,7292,1544,3626672,19600,2881863,21436,595400,13436,144955,6945,4454,1324,453091,12985,356718,10846,62905,4586,32579,3626,889,496,104957,6737,84063,5891,17753,2495,3054,1156,87,106,138555,8150,110332,6930,17067,2074,10477,2016,679,394,231968,9335,165323,7399,15493,2112,49969,4374,1183,505,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,704914,7321,481031,8358,175783,5891,47081,3459,1019,416,475067,7451,319150,7121,129102,5294,26148,2590,667,365,95464,5214,67348,4338,22076,2340,5837,1229,203,172,49270,3864,41284,3698,6458,1124,1493,587,35,56,52497,3479,36612,2758,13388,1682,2488,756,9,15,32616,3184,16637,2007,4759,1310,11115,1970,105,95,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,734911,8152,565093,8743,112850,5166,55722,3890,1246,477,566332,9324,447085,8499,88209,4343,30352,3068,686,337,79038,5103,60111,4504,13388,2363,5262,1161,277,335,5905,1226,4154,1007,1316,612,417,451,18,36,38399,3607,27325,3045,6171,1504,4859,1219,44,80,45237,4045,26418,3060,3766,1006,14832,2095,221,148,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6094828,22953,5094872,24775,719200,12691,272644,8321,8112,1224,4485040,27164,3757713,26032,565833,11629,156917,5540,4577,937,482647,13251,410234,12304,51851,3331,19455,2167,1107,407,566654,12552,506174,11959,49018,3584,11373,1472,89,97,292053,9688,237028,9141,38675,2781,15865,1964,485,263,268434,8524,183723,7479,13823,1856,69034,3713,1854,722,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3063590,16142,2607510,17057,318413,8880,132480,4827,5187,1030,2545272,17562,2187814,17319,273526,8182,80590,3752,3342,974,264220,10374,224280,9918,26810,2936,12620,1771,510,310,33240,3130,28895,3128,3660,1021,685,411,0,189,111690,5660,94517,5399,10907,1522,5898,1066,368,262,109168,4985,72004,4112,3510,846,32687,2734,967,426,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1574828,10754,1268122,11124,206011,7209,97067,3822,3628,756,1274961,11457,1051457,10736,164544,6155,57072,2906,1888,572,135819,5647,110912,5184,18091,2032,6473,1271,343,223,21648,2568,15839,2430,5325,1097,484,272,0,155,78152,3908,57304,3303,14163,1824,6407,819,278,167,64248,3432,32610,2493,3888,918,26631,2375,1119,441,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1413917,10989,1102493,10773,225854,6900,83294,4031,2276,541,1168154,12818,925868,11629,189942,6636,51328,3036,1016,357,125499,5275,98449,4951,19099,2167,7414,1136,537,352,8983,1772,6583,1493,1991,875,409,304,0,168,51853,3304,36546,2870,10230,1430,4975,856,102,95,59428,3100,35047,2370,4592,1111,19168,1786,621,299,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1898550,13609,1518672,14576,281142,8437,96348,4572,2388,604,1559409,14460,1256825,15416,238109,8293,63371,3646,1104,392,184672,7472,150633,6931,25227,2458,8127,1452,685,377,21727,2376,19669,2247,1968,598,90,120,0,187,73003,4045,54165,3659,12321,1521,6217,1198,300,205,59739,4095,37380,2978,3517,823,18543,2054,299,257,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2014335,15678,1588288,17432,314952,10203,108757,5567,2338,807,1667940,16472,1319598,17775,275337,9373,71361,4080,1644,664,181268,9554,146275,8004,23713,2607,11034,2050,246,239,29758,3245,24036,2642,4160,1426,1562,673,0,204,78511,5256,62425,4421,9154,1504,6785,1606,147,133,56858,4390,35954,3385,2588,738,18015,2383,301,211,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,636271,7794,496684,8507,83679,4794,55380,3289,528,317,506801,8045,401343,8779,72720,4077,32506,2199,232,166,55341,3938,44543,3342,6741,1482,4038,903,19,30,4045,1122,3569,1055,400,328,65,82,11,19,33596,3118,27180,2736,3046,884,3370,743,0,163,36488,3120,20049,2304,772,264,15401,1780,266,269,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
