GEO_ID,C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,NAME,C23002H_001MA,C23002H_001EA,C23002H_002EA,C23002H_002MA,C23002H_003MA,C23002H_003EA,C23002H_004MA,C23002H_004EA,C23002H_005MA,C23002H_005EA,C23002H_006MA,C23002H_006EA,C23002H_007EA,C23002H_007MA,C23002H_008MA,C23002H_008EA,C23002H_009MA,C23002H_009EA,C23002H_010MA,C23002H_010EA,C23002H_011MA,C23002H_011EA,C23002H_012EA,C23002H_012MA,C23002H_013EA,C23002H_013MA,C23002H_014MA,C23002H_014EA,C23002H_015MA,C23002H_015EA,C23002H_016MA,C23002H_016EA,C23002H_017EA,C23002H_017MA,C23002H_018EA,C23002H_018MA,C23002H_019MA,C23002H_019EA,C23002H_020EA,C23002H_020MA,C23002H_021EA,C23002H_021MA,C23002H_022MA,C23002H_022EA,C23002H_023MA,C23002H_023EA,C23002H_024MA,C23002H_024EA,C23002H_025MA,C23002H_025EA,C23002H_026EA,C23002H_026MA,C23002H_027MA,C23002H_027EA,state
0400000US34,4192474,3421,2022761,2523,1598648,2471,1305749,7032,4931,793,1300818,7135,1225623,8202,75195,4860,292899,7262,424113,694,109305,3754,105140,3725,4165,902,314808,3838,2169713,2329,1609274,2331,1172967,9966,970,566,1171997,10001,1111034,10389,60963,3588,436307,10145,560439,356,95331,3583,90387,3606,4944,1159,465108,3619,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,690161,1541,340537,1162,249800,1254,193517,3626,5644,1069,187873,3721,174774,3792,13099,1518,56283,3639,90737,523,18411,1826,17678,1794,733,356,72326,1865,349624,1046,244696,1176,162051,3535,793,478,161258,3537,154497,3428,6761,1374,82645,3532,104928,647,17538,1768,16989,1748,549,363,87390,1913,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,9263472,6448,4487228,4718,3581837,4666,2847894,11105,13517,1557,2834377,10815,2677897,12645,156480,6137,733943,11742,905391,461,218290,6062,210303,5832,7987,1229,687101,6167,4776244,3289,3605667,3040,2623249,13872,2049,637,2621200,13892,2506850,13370,114350,4763,982418,14286,1170577,955,177686,5528,172491,5738,5195,927,992891,5595,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5318156,5010,2573051,3623,2041907,3615,1617016,9050,46981,3098,1570035,9402,1484980,10433,85055,5001,424891,9007,531144,98,110102,4617,106793,4354,3309,1024,421042,4612,2745105,3077,2076890,3076,1424671,9547,2615,938,1422056,9550,1343587,9574,78469,5695,652219,9829,668215,405,84349,3870,81714,3790,2635,692,583866,3845,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,527500,819,269511,674,223004,680,189864,2139,5008,938,184856,2309,181075,2647,3781,1041,33140,2211,46507,64,11545,974,11127,947,418,306,34962,967,257989,688,201587,691,158481,2221,407,209,158074,2255,154655,2167,3419,969,43106,2315,56402,73,8642,841,8432,844,210,171,47760,822,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7584369,4738,3683296,3420,2970329,3384,2372810,8463,4245,705,2368565,8462,2239800,9169,128765,5826,597519,8293,712967,298,148242,4209,143720,4188,4522,953,564725,4217,3901073,3028,2987928,3084,2144448,10883,1132,428,2143316,10931,2037964,11870,105352,5191,843480,11114,913145,300,127618,4934,123361,4779,4257,829,785527,4874,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2136336,2266,1040310,1428,825177,1408,648491,5122,10189,1471,638302,5435,607382,5664,30920,2312,176686,5075,215133,218,47480,2188,46644,2153,836,293,167653,2233,1096026,1549,829190,1470,555639,4958,2254,797,553385,5187,527488,5235,25897,2508,273551,5158,266836,336,40800,2070,39454,2032,1346,457,226036,2076,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2595679,2190,1266100,1551,990734,1531,768984,6486,1271,501,767713,6633,714980,7464,52733,4161,221750,6687,275366,212,48611,2654,46658,2502,1953,819,226755,2643,1329579,1829,1001640,1811,704798,6404,241,162,704557,6438,660951,7434,43606,3830,296842,6294,327939,116,41964,2561,40628,2505,1336,418,285975,2556,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,8288123,5070,4012397,3468,3171171,3285,2564815,9059,2317,752,2562498,8861,2421247,10024,141251,5676,606356,9500,841226,568,182601,5101,176789,5132,5812,1030,658625,5198,4275726,2930,3184260,2846,2307852,11303,248,212,2307604,11287,2199124,11340,108480,4498,876408,11369,1091466,377,152188,4975,148919,4808,3269,680,939278,4952,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,665266,1684,317598,1078,252680,1028,200818,2651,1406,346,199412,2611,187384,3343,12028,1865,51862,2768,64918,279,15144,1572,14189,1621,955,471,49774,1609,347668,1088,260329,1061,198182,4052,144,155,198038,4076,190040,3994,7998,1199,62147,4303,87339,197,13561,1371,13284,1363,277,212,73778,1388,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
