GEO_ID,B08007_001E,B08007_001M,B08007_002E,B08007_002M,B08007_003E,B08007_003M,B08007_004E,B08007_004M,B08007_005E,B08007_005M,B08007_006E,B08007_006M,B08007_007E,B08007_007M,B08007_008E,B08007_008M,B08007_009E,B08007_009M,B08007_010E,B08007_010M,B08007_011E,B08007_011M,B08007_012E,B08007_012M,B08007_013E,B08007_013M,B08007_014E,B08007_014M,B08007_015E,B08007_015M,NAME,B08007_001EA,B08007_001MA,B08007_002EA,B08007_002MA,B08007_003MA,B08007_003EA,B08007_004MA,B08007_004EA,B08007_005EA,B08007_005MA,B08007_006EA,B08007_006MA,B08007_007EA,B08007_007MA,B08007_008MA,B08007_008EA,B08007_009MA,B08007_009EA,B08007_010MA,B08007_010EA,B08007_011EA,B08007_011MA,B08007_012EA,B08007_012MA,B08007_013MA,B08007_013EA,B08007_014MA,B08007_014EA,B08007_015MA,B08007_015EA,state
0400000US46,430868,5925,419738,6022,345014,5988,74724,3375,11130,1316,230037,3731,222131,3787,182266,3818,39865,2507,7906,1131,200831,4327,197607,4398,162748,4657,34859,2258,3224,612,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,2954054,18108,2842696,18180,2106658,19631,736038,14294,111358,5109,1551898,11710,1477273,11756,1062899,12399,414374,10301,74625,4405,1402156,12643,1365423,12879,1043759,12693,321664,8834,36733,3007,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,12556719,35437,12432246,36151,9716973,35522,2715273,26465,124473,7475,6885492,26097,6788274,27117,5165428,25703,1622846,19436,97218,5872,5671227,26956,5643972,27377,4551545,28518,1092427,16702,27255,2994,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1394977,12250,1377714,12595,1150424,13627,227290,6897,17263,2279,786430,6066,773108,6602,619874,7854,153234,5567,13322,1982,608547,8826,604606,8919,530550,9248,74056,3948,3941,982,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,320350,4069,299287,4129,247409,4774,51878,3097,21063,2112,162896,2641,151824,2706,122614,2782,29210,1980,11072,1258,157454,2937,147463,3034,124795,3429,22668,2033,9991,1401,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4116194,17553,3745470,19469,1985128,19359,1760342,19071,370724,8072,2166224,11761,1944444,12548,982714,14760,961730,12927,221780,5939,1949970,13060,1801026,13601,1002414,12483,798612,12424,148944,4808,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,3370945,18724,3260453,18926,2742743,20895,517710,10586,110492,5002,1838434,13790,1764594,13665,1453442,14883,311152,8635,73840,3829,1532511,12453,1495859,12549,1289301,13181,206558,5702,36652,2952,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,721699,8469,633528,8439,483208,7217,150320,5376,88171,4384,383305,6041,326671,6493,238458,5510,88213,3980,56634,3629,338394,5095,306857,4730,244750,5323,62107,3735,31537,2784,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,2912061,11431,2801378,12001,2095514,13292,705864,10176,110683,4091,1515119,7298,1450514,7913,1052356,8667,398158,5997,64605,3280,1396942,8374,1350864,8374,1043158,9700,307706,6534,46078,2374,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,289163,5043,282495,5465,265813,5591,16682,2188,6668,1464,156448,3249,151486,3568,139241,3921,12245,1838,4962,1294,132715,3986,131009,3952,126572,4084,4437,1044,1706,656,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,999029,11178,997661,11221,480423,9563,517238,10031,1368,797,523600,8829,522758,8888,245603,7150,277155,7576,842,620,475429,8779,474903,8816,234820,6328,240083,7124,526,437,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
