B12006_035M,B12006_036E,B12006_036M,B12006_037E,B12006_037M,B12006_038E,B12006_038M,B12006_039E,B12006_039M,B12006_040E,B12006_040M,B12006_041E,B12006_041M,B12006_042E,B12006_042M,B12006_043E,B12006_043M,B12006_044E,B12006_044M,B12006_045E,B12006_045M,B12006_046E,B12006_046M,B12006_047E,B12006_047M,B12006_048E,B12006_048M,B12006_049E,B12006_049M,B12006_050E,B12006_050M,B12006_051E,B12006_051M,B12006_052E,B12006_052M,B12006_053E,B12006_053M,B12006_054E,B12006_054M,B12006_055E,B12006_055M,B12006_056E,B12006_056M,GEO_ID,B12006_001E,B12006_001M,B12006_002E,B12006_002M,B12006_003E,B12006_003M,B12006_004E,B12006_004M,B12006_005E,B12006_005M,B12006_006E,B12006_006M,B12006_007E,B12006_007M,B12006_008E,B12006_008M,B12006_009E,B12006_009M,B12006_010E,B12006_010M,B12006_011E,B12006_011M,B12006_012E,B12006_012M,B12006_013E,B12006_013M,B12006_014E,B12006_014M,B12006_015E,B12006_015M,B12006_016E,B12006_016M,B12006_017E,B12006_017M,B12006_018E,B12006_018M,B12006_019E,B12006_019M,B12006_020E,B12006_020M,B12006_021E,B12006_021M,B12006_022E,B12006_022M,B12006_023E,B12006_023M,B12006_024E,B12006_024M,B12006_025E,B12006_025M,B12006_026E,B12006_026M,B12006_027E,B12006_027M,B12006_028E,B12006_028M,B12006_029E,B12006_029M,B12006_030E,B12006_030M,B12006_031E,B12006_031M,B12006_032E,B12006_032M,B12006_033E,B12006_033M,B12006_034E,B12006_034M,B12006_035E,B12006_035MA,B12006_036MA,B12006_036EA,B12006_037MA,B12006_037EA,B12006_038EA,B12006_038MA,B12006_039MA,B12006_039EA,B12006_040EA,B12006_040MA,B12006_041MA,B12006_041EA,B12006_042EA,B12006_042MA,B12006_043MA,B12006_043EA,B12006_044EA,B12006_044MA,B12006_045MA,B12006_045EA,B12006_046EA,B12006_046MA,B12006_047EA,B12006_047MA,B12006_048MA,B12006_048EA,B12006_049EA,B12006_049MA,B12006_050MA,B12006_050EA,B12006_051EA,B12006_051MA,B12006_052MA,B12006_052EA,B12006_053EA,B12006_053MA,B12006_054MA,B12006_054EA,B12006_055EA,B12006_055MA,B12006_056MA,B12006_056EA,NAME,B12006_001MA,B12006_001EA,B12006_002EA,B12006_002MA,B12006_003EA,B12006_003MA,B12006_004MA,B12006_004EA,B12006_005MA,B12006_005EA,B12006_006MA,B12006_006EA,B12006_007EA,B12006_007MA,B12006_008MA,B12006_008EA,B12006_009MA,B12006_009EA,B12006_010MA,B12006_010EA,B12006_011EA,B12006_011MA,B12006_012MA,B12006_012EA,B12006_013EA,B12006_013MA,B12006_014MA,B12006_014EA,B12006_015EA,B12006_015MA,B12006_016MA,B12006_016EA,B12006_017MA,B12006_017EA,B12006_018EA,B12006_018MA,B12006_019MA,B12006_019EA,B12006_020MA,B12006_020EA,B12006_021MA,B12006_021EA,B12006_022EA,B12006_022MA,B12006_023MA,B12006_023EA,B12006_024EA,B12006_024MA,B12006_025MA,B12006_025EA,B12006_026EA,B12006_026MA,B12006_027EA,B12006_027MA,B12006_028MA,B12006_028EA,B12006_029EA,B12006_029MA,B12006_030MA,B12006_030EA,B12006_031MA,B12006_031EA,B12006_032MA,B12006_032EA,B12006_033EA,B12006_033MA,B12006_034MA,B12006_034EA,B12006_035EA,state
10969,95476,5389,24102,2333,22497,2138,1605,616,71374,4329,352572,8201,63624,4215,59852,4015,3772,1042,288948,6505,920693,19085,383740,10141,243519,8791,225262,8618,18257,2726,140221,6162,536953,12621,338525,10422,316481,10134,22044,3023,198428,5518,0400000US13,7998548,6350,2640029,21856,1367006,14500,857100,14526,750772,14525,106328,6527,509906,9289,1273023,13151,829854,13063,739994,12838,89860,5730,443169,10862,3809043,33592,1923544,17694,1423514,16002,1380756,15388,42758,3423,500030,8842,1885499,19191,1106628,15887,1054475,15416,52153,4095,778871,14272,180735,8691,74802,5203,49023,4126,41979,3835,7044,2152,25779,2838,105933,5982,69673,5256,61295,4642,8378,1747,36260,3680,448048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
3285,15652,1766,3313,1079,3283,1074,30,51,12339,1424,56959,2845,11538,1532,11150,1518,388,311,45421,2535,111360,6083,48952,2887,31202,2589,29730,2501,1472,553,17750,2161,62408,4396,39533,3254,37574,3165,1959,638,22875,2351,0400000US15,1152884,1566,376617,8880,214172,5837,152634,4328,141629,4666,11005,2073,61538,4346,162445,5321,112616,5123,105326,4609,7290,1325,49829,3281,576310,10843,295955,6044,220518,5446,215376,5338,5142,1127,75437,3556,280355,5970,172345,4945,165341,4929,7004,1360,108010,4223,15986,2035,7457,1463,5054,1298,4771,1239,283,251,2403,756,8529,1481,5938,1310,5486,1244,452,320,2591,787,72611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
2923,13996,1576,2749,867,2728,854,21,37,11247,1295,48760,2737,9093,1383,8462,1288,631,602,39667,2616,155092,7351,68936,4598,45448,4343,42948,4170,2500,774,23488,2443,86156,5124,56346,4098,54196,4016,2150,746,29810,2997,0400000US16,1270851,2653,343864,9068,188505,6059,121213,5394,108379,5142,12834,1866,67292,4365,155359,5901,104421,5233,94348,4904,10073,1776,50938,3973,691208,12601,349651,6484,249800,6497,243134,5986,6666,1525,99851,3168,341557,8057,190264,6372,184407,6280,5857,1381,151293,6127,17931,2828,8747,1756,6237,1527,5747,1483,490,361,2510,817,9184,2187,6103,1903,5176,1493,927,1034,3081,1131,62756,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
9183,128431,5267,30539,3202,28289,3016,2250,760,97892,3892,471529,7873,87076,4290,82097,4077,4979,1371,384453,5980,1009096,16245,430655,9334,286412,7957,266103,7721,20309,2340,144243,5617,578441,11055,373444,9062,354165,8637,19279,2099,204997,7375,0400000US17,10240058,5708,3523702,20683,1849794,12936,1265926,12242,1110115,11154,155811,6244,583868,11351,1673908,13565,1147923,13731,1028096,13555,119827,7015,525985,10159,4933053,30005,2492880,17079,1876352,14326,1810844,14101,65508,3729,616528,8385,2440173,16796,1488305,14603,1426563,14658,61742,3827,951868,12965,174247,7206,71578,4580,49783,3907,45809,3708,3974,985,21795,2165,102669,5298,69165,4619,62013,4811,7152,1537,33504,2960,599960,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
6797,69222,3292,14792,1780,14246,1753,546,353,54430,2814,252780,5777,44677,3359,43163,3451,1514,599,208103,4401,682725,13769,303633,7571,199202,7187,185706,6987,13496,1830,104431,5319,379092,9269,242551,7884,228976,7534,13575,1916,136541,6142,0400000US18,5215392,4548,1571463,17116,841962,10122,566137,10050,503447,9820,62690,4259,275825,7556,729501,10904,489439,10403,440059,10907,49380,4166,240062,7466,2567554,25493,1290165,13933,943238,12738,921422,12735,21816,2108,346927,6798,1277389,14775,766932,12154,742145,11795,24787,2516,510457,9172,71648,4645,32139,3401,22428,2913,20198,2523,2230,1134,9711,1462,39509,3503,26220,2869,23617,2773,2603,706,13289,1872,322002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
4490,34002,2150,7341,1048,6974,1009,367,216,26661,1756,124562,3521,21339,1962,20786,1915,553,326,103223,2953,272190,8873,126426,5613,89464,4668,84177,4547,5287,1013,36962,3071,145764,5554,100788,4968,94825,4758,5963,1702,44976,2646,0400000US19,2475140,3231,701420,11172,384332,7418,274004,6672,252226,6737,21778,2505,110328,4479,317088,6215,232285,5704,216396,5575,15889,1986,84803,4622,1311400,15916,660887,8791,496094,7869,487494,7871,8600,1149,164793,4279,650513,8867,425701,7535,416637,7499,9064,1213,224812,5753,31566,2798,12757,1837,10092,1770,9592,1642,500,459,2665,616,18809,2111,13563,1791,12136,1815,1427,563,5246,1135,158564,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
5296,29970,2541,5919,1077,5556,1067,363,254,24051,2229,108705,3898,21264,2179,20889,2136,375,245,87441,2887,262237,8812,121504,5329,86132,4159,80578,4189,5554,1244,35372,2622,140733,5690,93621,4287,89448,4353,4173,863,47112,3439,0400000US20,2270108,3461,652419,10032,362935,6148,248473,7016,226701,6640,21772,2296,114462,4490,289484,6065,202895,5761,185853,5411,17042,2438,86589,3692,1185758,17617,596294,8920,455529,9038,446905,8781,8624,1338,140765,4260,589464,9802,369546,8181,360428,7920,9118,1470,219918,6144,31019,2979,12183,1617,8820,1376,8022,1246,798,468,3363,722,18836,2275,13894,1934,12581,1898,1313,647,4942,1092,138675,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
7479,54182,4097,12226,1967,11217,1901,1009,585,41956,3094,183797,4985,29700,2359,28549,2423,1151,445,154097,4247,484785,10550,228644,6826,132007,6482,121571,6125,10436,1846,96637,4293,256141,6906,141978,5424,132685,5065,9293,1856,114163,4899,0400000US21,3531385,3734,967386,11590,524021,7395,338434,8265,297026,7763,41408,2989,185587,6063,443365,7743,284654,7412,256186,7099,28468,2299,158711,5190,1763407,17945,879781,10803,592824,9006,573304,9039,19520,2241,286957,6211,883626,9827,500849,9259,483184,8643,17665,2348,382777,5872,77828,4327,31691,2784,17167,2175,15647,2108,1520,588,14524,1795,46137,3292,25781,2632,22439,2361,3342,999,20356,2383,237979,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
7680,59415,4214,11715,1966,11222,1902,493,390,47700,3491,196834,5627,38893,3081,37180,3008,1713,613,157941,4781,447960,11758,198531,7646,123127,5912,112692,5921,10435,2195,75404,5139,249429,7494,155961,6297,146640,6039,9321,1797,93468,5114,0400000US22,3676681,4816,1268691,17261,667539,9312,405178,10207,349679,10500,55499,4228,262361,7981,601152,11293,376431,8733,335687,8715,40744,3913,224721,7715,1609023,25388,811608,12859,586332,11781,568739,11983,17593,2014,225276,6256,797415,14127,453892,11272,439897,11044,13995,2150,343523,8821,94758,5880,37210,3051,22134,2679,19995,2476,2139,913,15076,1697,57548,4432,34740,3585,31114,3300,3626,1217,22808,2602,256249,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
3503,15442,1855,3617,944,2945,807,672,489,11825,1556,57673,2728,10827,1338,10084,1320,743,501,46846,2193,156316,6616,68788,3468,42078,2910,39206,2882,2872,884,26710,2496,87528,4681,54796,3860,52517,3721,2279,785,32732,2641,0400000US23,1103834,2110,304612,6639,164621,4241,110774,4016,97770,4201,13004,1907,53847,3108,139991,3970,97310,3707,90386,3717,6924,1132,42681,3075,556381,10200,279314,5712,191318,5202,186065,5108,5253,1039,87996,3100,277067,6179,167898,4928,163980,5072,3918,796,109169,4085,13410,1949,5827,1391,4137,1161,3233,941,904,600,1690,599,7583,1445,4253,895,4020,870,233,157,3330,1116,73115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
7680,54963,3764,13692,1842,13019,1787,673,345,41271,3161,220371,6540,46817,3347,44484,3074,2333,839,173554,5244,493563,13256,200861,6879,134900,5758,128012,5637,6888,1100,65961,3769,292702,8436,197768,6844,189948,6292,7820,1564,94934,4429,0400000US24,4814546,3848,1646083,16340,840539,11055,577960,11283,519833,10525,58127,4286,262579,7828,805544,9483,554601,9483,509460,9680,45141,3900,250943,7313,2288747,22240,1157780,12453,897182,12039,872149,12087,25033,2251,260598,6232,1130967,13295,735070,11162,711144,10973,23926,2055,395897,9312,110819,5341,47282,3868,35189,3269,32747,3060,2442,1149,12093,1767,63537,3745,45342,3085,41923,3093,3419,1261,18195,1930,275334,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
7743,66395,3557,14644,1916,13972,1862,672,356,51751,3063,251832,6066,43145,3001,40317,2957,2828,1095,208687,4953,549098,12041,219100,6953,148141,6190,136699,5717,11442,1942,70959,4101,329998,8410,215655,7797,204629,7635,11026,1709,114343,5238,0400000US25,5578648,4136,2033787,20312,1057831,11839,737413,11095,659869,11432,77544,4852,320418,6489,975956,12842,689805,10903,639622,11242,50183,4033,286151,8326,2581240,23971,1299099,12440,987182,13010,958151,12902,29031,2594,311917,6207,1282141,14332,844165,12260,815275,12439,28890,2526,437976,9416,96296,5154,34730,2866,22805,2628,20502,2557,2303,1038,11925,1696,61566,4237,41334,3569,37773,3356,3561,1221,20232,2189,318227,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
7762,105622,3912,19320,1666,17921,1594,1399,491,86302,3500,380314,6857,59920,3241,55692,3145,4228,969,320394,6271,936313,14821,415729,9353,254518,7298,234647,6624,19871,2338,161211,5988,520584,10812,306120,7730,286633,7165,19487,2580,214464,6585,0400000US26,7982332,4984,2591335,18803,1379070,11676,917983,11131,796592,10951,121391,4940,461087,9188,1212265,11454,818733,11687,728476,11211,90257,4815,393532,9172,3863209,24033,1938187,13142,1329948,11825,1287470,12128,42478,2751,608239,8013,1925022,14145,1096049,11466,1052967,10918,43082,2837,828973,11356,105539,4977,45599,2704,26598,2360,22960,2263,3638,865,19001,1582,59940,3901,36929,2824,33364,2527,3565,964,23011,2343,485936,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
5041,53055,2794,12192,1567,11331,1473,861,361,40863,2616,175522,4330,31353,2326,30378,2301,975,395,144169,3885,450511,8966,198511,5344,138423,4140,131558,4076,6865,1110,60088,3230,252000,6327,173089,5266,167585,5230,5504,1072,78911,3916,0400000US27,4349038,3497,1331233,12846,723943,8266,546794,7094,500292,7289,46502,3747,177149,4360,607290,6940,463138,6449,436401,6533,26737,2580,144152,4939,2291424,16391,1147965,9586,871201,7991,851458,8360,19743,1943,276764,5066,1143459,9761,770201,8329,752973,8153,17228,1940,373258,6882,47293,3616,20870,2443,14939,2058,14488,1986,451,246,5931,1133,26423,2838,19782,2503,18288,2319,1494,784,6641,1256,228577,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
6002,34684,2761,7898,1676,7614,1665,284,216,26786,2296,131985,4840,24010,2223,22481,2119,1529,611,107975,4303,279594,8304,125080,5036,72849,4201,68302,4009,4547,1273,52231,3441,154514,6268,86376,4297,80354,4245,6022,1203,68138,4417,0400000US28,2345713,3487,783115,11774,404401,8773,231763,8110,195144,7700,36619,3768,172638,7134,378714,6715,220655,5924,183540,5631,37115,3460,158059,6463,1047390,17146,526037,9191,356644,8145,345441,8183,11203,1949,169393,5253,521353,10196,295920,8048,279846,7661,16074,2153,225433,6979,68945,4955,31013,3610,17305,2230,14966,2050,2339,836,13708,2185,37932,3250,21710,2674,19813,2589,1897,641,16222,1939,166669,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
7060,68853,3978,15147,1980,14149,1871,998,461,53706,3387,250239,5283,43921,2854,41946,2755,1975,654,206318,4777,609775,12437,273298,7371,170383,6677,159119,6390,11264,1542,102915,3890,336477,8982,210322,7806,199227,7586,11095,1585,126155,4534,0400000US29,4851761,4984,1427410,14877,760706,9745,514474,8883,464057,9092,50417,3570,246232,7063,666704,8260,451433,8017,413536,8138,37897,3482,215271,7072,2406472,23637,1212264,12820,864311,11509,840573,11850,23738,2157,347953,6177,1194208,13281,732258,11104,712943,11174,19315,2088,461950,8858,89012,4999,39116,2787,25658,2399,22665,2247,2993,841,13458,1650,49896,3952,34986,3429,32449,3444,2537,850,14910,1711,319092,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
2280,13570,1471,3446,903,3216,899,230,191,10124,1275,37561,1799,5610,754,5588,752,22,37,31951,1790,109619,5630,49698,3559,30732,2462,28287,2423,2445,733,18966,2020,59921,3283,38569,3037,36864,2997,1705,682,21352,1842,0400000US30,829911,1805,231657,5820,133618,4105,86691,3706,79790,3768,6901,1293,46927,3468,98039,3665,66272,3687,61917,3299,4355,1065,31767,2331,427635,8930,214152,4815,151211,4764,147496,4759,3715,919,62941,2674,213483,5074,127725,4570,124239,4474,3486,919,85758,3392,9869,1529,5162,1159,3855,968,3673,960,182,184,1307,551,4707,1070,2622,770,2329,741,293,312,2085,727,51131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
3227,18081,1466,4926,765,4803,795,123,123,13155,1235,67512,2573,14372,1378,14047,1401,325,181,53140,2353,159875,6103,73390,3681,52982,3337,51244,3161,1738,708,20408,1643,86485,3789,60894,3434,59255,3387,1639,518,25591,2284,0400000US31,1476487,2458,434516,8000,241819,4947,176882,5589,165311,5464,11571,1452,64937,3847,192697,4609,141837,4495,134000,4249,7837,1144,50860,2511,776627,11081,386411,6419,301189,5823,297162,5776,4027,829,85222,2459,390216,5903,258256,4691,253458,4662,4798,905,131960,4401,19876,2176,8086,1277,5872,1067,5638,1036,234,182,2214,707,11790,1678,7869,1340,7407,1268,462,294,3921,938,85593,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
4827,31918,2691,8437,1776,7597,1709,840,456,23481,2167,95807,4092,19729,2122,17893,2041,1836,661,76078,3707,332108,10360,148265,6437,92645,5558,85067,5070,7578,1439,55620,3931,183843,6999,114044,5906,105994,5644,8050,1459,69799,3879,0400000US32,2292699,2626,736382,11704,412600,7859,291788,7272,257005,7473,34783,3276,120812,5123,323782,6925,222110,6213,200324,5976,21786,2820,101672,5940,1040748,17232,526121,9512,373629,8188,354733,8232,18896,2279,152492,5406,514627,9677,292875,7755,275599,7855,17276,2154,221752,7003,55736,4706,25725,2919,19110,2738,17672,2544,1438,736,6615,1308,30011,3458,20938,2587,18403,2335,2535,984,9073,1994,127725,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
3452,14368,1791,3435,957,3062,946,373,291,10933,1551,47755,2696,11067,1467,10828,1446,239,179,36688,2230,138604,6859,60166,3970,41843,3366,38981,3177,2862,948,18323,1978,78438,4367,53735,3251,51792,3271,1943,651,24703,2493,0400000US33,1102089,1780,318406,7468,174891,4751,127927,4108,117824,4067,10103,1774,46964,3140,143515,4025,100651,3567,94051,3637,6600,1266,42864,3166,570891,12041,285978,6503,213940,5800,209183,5533,4757,1220,72038,3149,284913,7001,186106,5690,181497,5848,4609,1140,98807,4149,12065,2189,4603,1417,3760,1287,3760,1287,0,184,843,478,7462,1510,4413,1077,4241,1071,172,237,3049,1039,62123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
8006,92456,4060,23376,2227,21917,2169,1459,700,69080,3458,358749,6950,69079,3876,64604,3810,4475,1125,289670,5551,621787,11122,241930,8229,167951,6944,155425,6712,12526,1754,73979,4401,379857,8898,252839,7642,235615,7752,17224,2019,127018,5322,0400000US34,7193921,4401,2413983,19882,1273605,13141,840474,11688,742778,11090,97696,5339,433131,9081,1140378,12574,751564,12089,680811,11729,70753,4700,388814,9100,3572375,24121,1809609,14496,1395385,13588,1349233,13085,46152,3070,414224,8580,1762766,14768,1096866,11625,1044959,11954,51907,3146,665900,10938,134571,6717,54817,4167,41258,3719,37717,3618,3541,1024,13559,1931,79754,5014,54837,4331,51070,4103,3767,978,24917,2622,451205,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
