B17025_014M,B17025_015E,B17025_015M,GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014MA,B17025_015MA,B17025_015EA,NAME,B17025_001EA,B17025_001MA,B17025_002EA,B17025_002MA,B17025_003MA,B17025_003EA,B17025_004MA,B17025_004EA,B17025_005MA,B17025_005EA,B17025_006EA,B17025_006MA,B17025_007EA,B17025_007MA,B17025_008MA,B17025_008EA,B17025_009MA,B17025_009EA,B17025_010MA,B17025_010EA,B17025_011EA,B17025_011MA,B17025_012EA,B17025_012MA,B17025_013MA,B17025_013EA,B17025_014EA,state
11975,445267,15647,0400000US13,9943145,3984,1694988,33156,1517359,30091,1495429,30233,21930,4323,177629,10370,42816,4811,134813,8689,8248157,33718,7421539,33595,7310877,34339,110662,9113,826618,17696,381351,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
6037,87523,6341,0400000US15,1394121,1528,147984,8530,118472,7357,113997,7048,4475,1888,29512,3982,12398,2042,17114,3195,1246137,8707,1026815,10167,983865,11011,42950,4480,219322,8657,131799,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
3009,42487,4581,0400000US16,1622116,2056,245551,13820,227843,13483,225828,13437,2015,963,17708,2982,3440,1177,14268,2919,1376565,14140,1301845,13758,1289825,13521,12020,2294,74720,5148,32233,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
14890,742447,17269,0400000US17,12559422,3422,1703258,35831,1435558,30912,1413076,30917,22482,3066,267700,11481,77452,5633,190248,9489,10856164,35922,9320471,35960,9200901,36511,119570,6529,1535693,21430,793246,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
5712,136752,7278,0400000US18,6417418,3611,933181,24656,867861,24062,861202,24257,6659,1779,65320,5387,13481,2240,51839,5122,5484237,25635,5239547,25378,5203442,25392,36105,3587,244690,7705,107938,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3941,64323,5095,0400000US19,3021823,2361,367414,13279,335014,12420,333625,12306,1389,580,32400,4535,6860,1511,25540,4245,2654409,13148,2542185,12491,2526956,12648,15229,1843,112224,5764,47901,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
4478,95383,6633,0400000US20,2830943,2019,368879,13898,332942,13318,329482,13285,3460,928,35937,3853,5607,1402,30330,3760,2462064,14154,2295870,14142,2274420,14047,21450,2568,166194,7695,70811,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
4438,63520,4369,0400000US21,4290022,2851,794055,21101,754883,20325,750962,20177,3921,1343,39172,6393,5869,1647,33303,5845,3495967,20677,3380964,21327,3357304,20464,23660,2461,115003,6278,51483,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
4425,81005,6342,0400000US22,4541688,2472,889946,24422,853194,23475,848385,23616,4809,1473,36752,5481,11265,2864,25487,3887,3651742,24500,3506607,26662,3482661,26832,23946,3102,145135,7668,64130,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
2664,13951,2158,0400000US23,1292996,1632,172620,9255,165012,8842,163431,8863,1581,600,7608,1969,3224,1023,4384,1626,1120376,9135,1084855,9642,1073577,9563,11278,1742,35521,2987,21570,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
10646,396511,13450,0400000US24,5863290,3873,570776,21279,481551,19227,473851,19212,7700,1829,89225,6734,27031,3150,62194,6561,5292514,21702,4479153,23616,4401222,23314,77931,4471,813361,14775,416850,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
12745,405408,14732,0400000US25,6558724,2955,752071,21473,596895,17073,542304,16313,54591,5127,155176,9669,54539,4538,100637,8711,5806653,21672,4893017,25147,4764007,23724,129010,8391,913636,16827,508228,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
8994,230938,8806,0400000US26,9698396,3148,1529645,27659,1411859,26597,1399419,26704,12440,2097,117786,8231,46581,3947,71205,7385,8168751,27937,7644279,29807,7585713,29556,58566,4192,524472,11859,293534,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
7817,170654,8214,0400000US27,5366594,2516,546431,16392,458137,13919,452428,13919,5709,1340,88294,7572,33294,3654,55000,6663,4820163,16770,4459992,18909,4426477,19553,33515,2601,360171,9705,189517,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
2969,32431,3789,0400000US28,2896579,1923,637128,21554,623205,20913,619202,20820,4003,1754,13923,2728,3419,982,10504,2581,2259451,21322,2207141,20823,2191205,20825,15936,3159,52310,4534,19879,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
6062,94590,5552,0400000US29,5901967,3392,875495,21660,826146,20380,820787,20282,5359,1286,49349,5655,13455,3140,35894,4380,5026472,21716,4838806,21867,4797038,22518,41768,3400,187666,7045,93076,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
1216,7303,1251,0400000US30,1007727,1004,147287,8916,143598,8860,142558,8905,1040,509,3689,1006,1648,698,2041,724,860440,9117,843593,8941,836579,9042,7014,1317,16847,1649,9544,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
3511,55389,4201,0400000US31,1842682,1204,231321,10619,200499,9002,198365,8916,2134,835,30822,3877,8869,2058,21953,3761,1611361,10690,1517115,9898,1503388,9899,13727,1978,94246,4857,38857,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
9271,231824,10583,0400000US32,2850472,2159,418243,18129,332859,15938,327860,15799,4999,1175,85384,6359,22889,3307,62495,5728,2432229,18209,1963048,18087,1914880,18589,48168,4937,469181,12286,237357,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
3532,28671,3550,0400000US33,1288060,1341,106046,8442,97538,8214,95092,7999,2446,1060,8508,1732,4039,1283,4469,1299,1182014,8385,1113389,9060,1101830,8755,11559,1902,68625,4660,39954,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
15704,724881,16708,0400000US34,8781575,3097,946114,26304,694874,21613,653980,20241,40894,4885,251240,12401,96633,6064,154607,10079,7835461,26223,6122669,28421,5959063,27486,163606,8567,1712792,21260,987911,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
4347,80903,5243,0400000US35,2044431,1676,417834,15720,363117,14451,359656,14498,3461,1390,54717,6753,13718,3093,40999,5056,1626597,15638,1488157,16422,1467851,16078,20306,2614,138440,6787,57537,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
28861,1526773,26419,0400000US36,19283776,5245,2970032,47607,2181636,40727,2062642,39431,118994,7229,788396,19697,328436,10039,459960,17518,16313744,48287,12633581,50591,12260763,48108,372818,12240,3680163,37172,2153390,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
8970,359152,10951,0400000US37,9790073,3862,1607835,31818,1441125,29805,1423614,29552,17511,3031,166710,9848,35192,4405,131518,8080,8182238,31003,7563782,30424,7469349,31587,94433,6276,618456,13040,259304,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
1965,12715,2018,0400000US38,731354,783,80170,5329,76045,5337,75535,5251,510,320,4125,1275,1596,723,2529,949,651184,5457,627657,5595,622139,5736,5518,1289,23527,2430,10812,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
8653,177348,9967,0400000US39,11295340,4411,1674415,34580,1580078,31967,1560634,31793,19444,3162,94337,8805,30470,3681,63867,7465,9620925,34830,9221749,34099,9142695,32983,79054,5602,399176,13646,221828,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
3655,115773,5626,0400000US40,3795764,1895,610828,15093,564853,14281,559703,14183,5150,1245,45975,4390,9206,1644,36769,3785,3184936,15010,3000503,14996,2965794,16248,34709,3408,184433,7031,68660,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
6056,173416,9818,0400000US41,3952077,2585,607029,22484,537871,20675,531056,20503,6815,1724,69158,5887,16747,2668,52411,5439,3345048,22564,3022300,21346,2983165,21029,39135,3729,322748,11442,149332,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
10883,297646,11281,0400000US42,12385716,4035,1629995,31848,1492128,29223,1436831,27647,55297,5351,137867,9795,53457,4973,84410,7536,10755721,31866,10078793,32782,9933231,31966,145562,7518,676928,15127,379282,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
4889,48417,5368,0400000US44,1016343,626,141035,9670,117114,8691,108827,8690,8287,2333,23921,3941,9536,2163,14385,3227,875308,9611,760747,9165,744420,8994,16327,2887,114561,6385,66144,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
5328,98374,5039,0400000US45,4750144,3538,790715,22651,744223,21632,737753,21103,6470,1961,46492,4654,8305,1814,38187,4446,3959429,22711,3778579,22780,3735527,23416,43052,4285,180850,6742,82476,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
1599,13426,2519,0400000US46,829644,1156,114071,7467,108955,7158,108233,7082,722,370,5116,1926,1366,794,3750,1673,715573,7505,693344,6885,689175,6807,4169,1075,22229,2934,8803,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
5770,151325,8892,0400000US47,6440381,3291,1077900,30450,1008943,27961,999577,27445,9366,2001,68957,6994,12611,2624,56346,6021,5362481,30455,5104107,30249,5055817,29388,48290,4316,258374,10760,107049,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
23659,2208544,39326,0400000US48,26846203,6615,4255517,65900,3331411,52285,3281386,51679,50025,5462,924106,30241,182734,9401,741372,28776,22590686,66191,18904186,64886,18569507,64876,334679,11322,3686500,43900,1477956,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
4539,114478,7366,0400000US49,2947861,2168,331854,15217,290914,14669,287503,14452,3411,1204,40940,4946,7883,1873,33057,4333,2616007,15587,2414899,15859,2391058,16510,23841,2863,201108,7696,86630,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
2045,8518,1664,0400000US50,600659,867,61314,5009,56381,4237,55584,4230,797,369,4933,2041,1861,1012,3072,1782,539345,5221,517542,5897,511615,5659,5927,1062,21803,2675,13285,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
10174,406653,13477,0400000US51,8131328,3187,909346,25335,794337,21696,781733,21370,12604,1978,115009,8804,31568,3223,83441,7685,7221982,25890,6332917,27213,6196286,26885,136631,6548,889065,14923,482412,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
12854,420886,13627,0400000US53,7036725,3798,857801,23751,717190,21174,703207,21262,13983,1953,140611,8053,44559,4491,96052,7404,6178924,24138,5349020,27065,5232913,26852,116107,6771,829904,15729,409018,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
1885,8759,2123,0400000US54,1793096,1902,321583,14177,316089,14373,314482,14260,1607,728,5494,2480,1758,798,3736,2107,1471513,14171,1449500,14677,1441230,15027,8270,1710,22013,2677,13254,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
5419,116742,6310,0400000US55,5620223,2582,677964,19332,631368,18034,621001,17831,10367,2319,46596,4778,14535,2680,32061,3581,4942259,19741,4714572,19137,4681415,18833,33157,2784,227687,8746,110945,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
1493,10598,2721,0400000US56,572319,727,63425,7239,60064,6808,59784,6681,280,260,3361,1643,793,614,2568,1507,508894,7286,490764,7669,487184,7517,3580,980,18130,3220,7532,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
3401,24994,3517,0400000US72,3443611,865,1586285,22921,1544075,23235,72274,6024,1471801,24094,42210,4434,14520,2362,27690,3232,1857326,22783,1802767,22527,98296,6322,1704471,21668,54559,5025,29565,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
